[u'casestatement_case_test_modify', u'casestatement_option_default_add', u'casestatement_option_redhat_delete', u'casestatement_option_redhatlinux_add', u'fragment_param_delete', u'fragment_param_modify', u'function_fail_param_modify', u'function_include_param_modify', u'function_warning_name_modify', u'hostclass_type_argument_add', u'hostclass_type_argument_delete', u'hostclass_type_argument_modify', u'ifstatement_if_test_modify', u'relation_order_arrow_add', u'relation_order_arrow_delete', u'relation_order_arrow_modify', u'resource_class_param_add', u'resource_concat', u'resource_database_grant_param_modify', u'resource_database_grant_type_modify', u'resource_database_user_type_modify', u'resource_exec_param_add', u'resource_exec_param_delete', u'resource_exec_param_modify', u'resource_file_param_add', u'resource_file_param_modify', u'resource_file_title_modify', u'resource_mysql_database_param_modify', u'resource_mysql_database_type_modify', u'resource_mysql_grant_param_modify', u'resource_mysql_grant_title_modify', u'resource_mysql_grant_type_modify', u'resource_mysql_user_param_add', u'resource_mysql_user_param_modify', u'resource_mysql_user_type_modify', u'resource_package_param_add', u'resource_package_param_modify', u'resource_postgresql_psql_param_add', u'resource_postgresql_psql_title_modify', u'resource_service_param_add', u'type_type_type_modify']
[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
